Term: t	 Score: 1
Term: https	 Score: 1
Term: co	 Score: 1
Term: rt	 Score: 1
Term: the	 Score: 1
Term: i	 Score: 1
Term: to	 Score: 1
Term: you	 Score: 1
Term: a	 Score: 1
Term: in	 Score: 1
Term: and	 Score: 1
Term: is	 Score: 1
Term: s	 Score: 1
Term: for	 Score: 1
Term: of	 Score: 1
Term: it	 Score: 2
Term: on	 Score: 1
Term: this	 Score: 1
Term: my	 Score: 1
Term: me	 Score: 1
Term: that	 Score: 0
Term: with	 Score: 0
Term: be	 Score: 1
Term: so	 Score: 1
Term: at	 Score: -1
Term: your	 Score: 2
Term: are	 Score: 1
Term: we	 Score: 1
Term: have	 Score: 1
Term: when	 Score: 0
Term: amp	 Score: 1
Term: just	 Score: 1
Term: m	 Score: 1
Term: but	 Score: 0
Term: can	 Score: 0
Term: up	 Score: 1
Term: if	 Score: 1
Term: all	 Score: 1
Term: not	 Score: 1
Term: from	 Score: 2
Term: get	 Score: 0
Term: out	 Score: 0
Term: do	 Score: 1
Term: what	 Score: 1
Term: don	 Score: 0
Term: about	 Score: 0
Term: new	 Score: 1
Term: they	 Score: 0
Term: was	 Score: 1
Term: how	 Score: 0
Term: de	 Score: 1
Term: by	 Score: 1
Term: one	 Score: 0
Term: people	 Score: 0
Term: now	 Score: 0
Term: he	 Score: 1
Term: will	 Score: 1
Term: u	 Score: 1
Term: go	 Score: 1
Term: an	 Score: 1
Term: who	 Score: 1
Term: kca	 Score: 2
Term: as	 Score: 1
Term: day	 Score: 1
Term: re	 Score: 1
Term: she	 Score: 1
Term: time	 Score: 1
Term: video	 Score: 1
Term: back	 Score: 1
Term: see	 Score: 1
Term: via	 Score: 0
Term: our	 Score: 2
Term: life	 Score: 1
Term: know	 Score: 1
Term: there	 Score: 1
Term: que	 Score: 1
Term: need	 Score: 1
Term: ve	 Score: 1
Term: work	 Score: 1
Term: here	 Score: 1
Term: or	 Score: 1
Term: would	 Score: 1
Term: her	 Score: 1
Term: today	 Score: 2
Term: y	 Score: 1
Term: o	 Score: 1
Term: us	 Score: 1
Term: too	 Score: 1
Term: more	 Score: 2
Term: has	 Score: 1
Term: why	 Score: 1
Term: e	 Score: 1
Term: much	 Score: 2
Term: his	 Score: 1
Term: think	 Score: 1
Term: follow	 Score: 3
Term: them	 Score: 0
Term: make	 Score: 1
Term: got	 Score: 0
Term: still	 Score: 1
Term: going	 Score: 1
Term: other	 Score: 0
Term: being	 Score: 0
Term: because	 Score: 0
Term: their	 Score: 0
Term: only	 Score: 1
Term: never	 Score: 0
Term: always	 Score: 2
Term: iheartawards	 Score: 0
Term: some	 Score: 2
Term: bestfanarmy	 Score: 0
Term: first	 Score: 2
Term: beamiller	 Score: 4
Term: really	 Score: 1
Term: than	 Score: 3
Term: la	 Score: 1
